id,max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,var_x,var_y,var_z,activity,isFall,timestamp,duration
30,1.504,0.704,0.384,0.416,-0.032,-0.32,0.8965818181818174,0.3156363636363638,0.04683636363636365,0.035094934214876035,0.01674663140495868,0.018053627768595034,Walk-Flat Ground,0,1521640233.126,4.979000091552734
31,1.44,0.768,0.704,0.384,-0.032,-0.32,0.7898461538461532,0.40030769230769203,0.2738461538461541,0.03747966863905329,0.024438059171597637,0.05119659171597633,Walk-Flat Ground,0,1521640235.626,4.980000019073486
32,1.472,0.768,0.704,0.384,0.032,-0.288,0.8563809523809517,0.33584761904761895,0.1980952380952382,0.04631452154195015,0.022588929160997747,0.07893762902494333,Walk-Flat Ground,0,1521640238.126,4.999000072479248
102,2.432,2.368,1.696,-1.312,-0.256,-0.448,0.8470260869565217,0.43965217391304356,0.13106086956521745,0.27228287758034025,0.22342944423440453,0.07652350064272213,Run Up Stairs,0,1521641249.6699998,4.94100022315979
103,2.752,3.072,1.696,-1.312,-0.256,-0.48,0.6835315315315311,0.6895855855855855,0.29463063063063066,0.4965162490057625,0.42585002645889125,0.20269880951221497,Run Up Stairs,0,1521641252.1699998,4.981000185012817
104,2.752,3.072,2.08,-0.832,-0.256,-0.48,0.7268045977011491,0.6937011494252867,0.5189885057471264,0.45905585836966584,0.3732419796538516,0.29621672400581317,Run Up Stairs,0,1521641254.6699998,4.961000204086304
105,2.592,1.952,2.08,-0.544,-0.096,-0.32,0.8846101694915254,0.4800000000000002,0.46481355932203405,0.26418376328641197,0.13332827118644075,0.27860977879919574,Run Up Stairs,0,1521641257.1699998,3.622000217437744
106,3.648,2.88,3.04,-1.152,-2.624,-3.328,0.9274434782608696,0.25739130434782626,0.03394782608695655,0.2103203859357269,0.20503848166351588,0.3073653885822283,Stand Still,0,1521641340.6309998,4.970000267028809
107,0.928,0.32,0.096,0.896,0.256,0.064,0.9026206896551726,0.29186206896551725,0.07034482758620694,0.00016802853745541058,0.00012632580261593367,0.00016277764565992856,Stand Still,0,1521641343.1309998,4.940000057220459
108,0.928,0.32,0.096,0.896,0.256,0.064,0.905025641025641,0.2915555555555555,0.07029059829059833,0.00020735831689677864,0.00011864007597340953,0.00016172751844546724,Stand Still,0,1521641345.6309998,4.999000072479248
