id,max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,var_x,var_y,var_z,activity,isFall
28,0.768,-0.512,0.896,-0.48,-1.664,-0.736,0.14515463917525778,-0.9451546391752577,-0.03397938144329896,0.05751421320012755,0.038089883303220315,0.07756672122435967,Walk-Flat Ground,0
29,0.768,-0.48,0.896,-0.608,-1.536,-0.576,0.11165217391304354,-0.9673043478260865,-0.03269565217391305,0.05797831379962193,0.040183168241965966,0.07372751606805295,Walk-Flat Ground,0
30,0.896,-0.416,0.672,-0.608,-1.536,-0.544,0.1324859813084113,-0.9555140186915883,-0.05801869158878508,0.05566824980347628,0.0395522124202987,0.05945192488426941,Walk-Flat Ground,0
31,2.528,0.896,2.752,-3.936,-2.592,-2.976,0.1154285714285715,-0.9454285714285706,-0.09057142857142864,0.45504653061224504,0.13203910204081634,0.3915316734693878,Walk-Flat Ground,0
32,2.528,0.896,2.752,-3.936,-2.592,-2.976,0.11302127659574475,-0.9467234042553186,-0.06400000000000004,0.5424084889090088,0.16064620009053868,0.47626893617021315,Walk-Flat Ground,0
33,0.928,-0.608,0.96,-0.64,-1.536,-0.672,0.13016216216216223,-0.9634594594594595,-0.053621621621621623,0.06460418991964939,0.0430513834915997,0.08114807304601898,Walk-Flat Ground,0
34,0.512,-0.64,0.704,-0.384,-1.536,-0.672,0.08248888888888889,-0.9678222222222224,-0.12942222222222227,0.039571405432098763,0.024856146172839516,0.05183513283950618,Walk-Flat Ground,0
35,0.384,-0.672,0.064,-0.192,-1.344,-0.48,0.06144,-0.9612800000000005,-0.13440000000000005,0.028501606399999994,0.023714201600000005,0.01425408,Walk-Flat Ground,0
36,0.608,-0.576,0.288,-0.48,-1.344,-0.64,0.07940740740740741,-0.9428148148148147,-0.1440000000000001,0.035602611796982146,0.01732126200274348,0.018953481481481484,Walk-Flat Ground,0
37,0.64,-0.416,0.896,-0.48,-1.376,-0.64,0.1242597402597403,-0.9271688311688308,-0.06981818181818188,0.03446954292460787,0.02542642604149098,0.05318755135773317,Walk-Flat Ground,0
38,0.8,-0.416,0.896,-0.32,-1.536,-0.576,0.16567088607594946,-0.9413670886075945,-0.017417721518987336,0.039372398013138916,0.04281635891684026,0.06330128120493511,Walk-Flat Ground,0
39,0.8,-0.512,0.608,-0.32,-1.536,-0.576,0.16725773195876295,-0.9468041237113398,-0.06795876288659797,0.036959119141247734,0.03571865235412904,0.04824956530980976,Walk-Flat Ground,0
40,0.8,-0.48,0.608,-0.256,-1.792,-0.608,0.1175384615384616,-0.953846153846153,-0.09630769230769234,0.030374248520710058,0.031292591715976315,0.041974059171597675,Walk-Flat Ground,0
41,0.608,-0.48,0.544,-0.512,-1.792,-0.608,0.04820779220779221,-0.9508571428571427,-0.12176623376623383,0.030098242536684083,0.026753187384044523,0.035774542755945375,Walk-Flat Ground,0
42,0.256,-0.768,0.224,-0.512,-1.28,-0.544,0.006153846153846153,-0.9366153846153852,-0.14769230769230773,0.03363597633136096,0.015640236686390536,0.029386982248520727,Walk-Flat Ground,0
43,0.384,-0.736,0.224,-0.16,-1.376,-0.576,0.07573333333333333,-0.9525333333333339,-0.13226666666666667,0.016553528888888894,0.011037582222222222,0.02544526222222222,Walk-Flat Ground,0
44,0.832,-0.512,0.608,-0.704,-1.536,-0.576,0.12709859154929581,-0.9464788732394362,-0.05273239436619719,0.05892966633604443,0.03702731997619519,0.048001041063281104,Walk-Flat Ground,0
45,0.832,-0.48,0.768,-0.704,-1.76,-0.608,0.150909090909091,-0.9414545454545454,-0.016363636363636358,0.06672171900826444,0.057034975206611584,0.06681586776859504,Walk-Flat Ground,0
46,0.8,-0.48,0.768,-0.416,-1.76,-0.608,0.18803809523809534,-0.9310476190476185,-0.06217142857142859,0.0390035795011338,0.037985988208616754,0.05306911346938777,Walk-Flat Ground,0
47,0.8,-0.544,0.384,-0.128,-1.568,-0.544,0.194488888888889,-0.9308444444444438,-0.11306666666666673,0.025901005432098802,0.015647731358024688,0.024921884444444403,Walk-Flat Ground,0
48,0.704,-0.224,1.504,-0.224,-1.184,-0.256,0.05563963963963965,-0.9032072072072069,0.17700900900900907,0.024072518789059326,0.03497623634445258,0.07162132424316207,Go Up Stairs,0
49,0.8,-0.224,1.504,-0.224,-1.376,-0.256,0.09518644067796614,-0.8729491525423717,0.23538983050847473,0.03881588049411086,0.061108251651824194,0.11702281413386965,Go Up Stairs,0
50,0.8,-0.224,1.312,-0.192,-1.376,-0.352,0.12094915254237294,-0.8569491525423727,0.28583050847457636,0.03901848893995978,0.06250106521114619,0.12100085262855506,Go Up Stairs,0
51,1.28,0.16,2.592,-0.32,-2.272,-0.352,0.12393220338983055,-0.8436610169491522,0.3246101694915254,0.04739118184429764,0.09303934271760993,0.1419763056592933,Go Up Stairs,0
52,1.28,0.16,2.592,-0.32,-2.272,-0.192,0.07370786516853935,-0.8920449438202233,0.2085393258426967,0.038230970837015536,0.08382579573286204,0.12987800126246687,Go Up Stairs,0
