id,max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,var_x,var_y,var_z,activity,isFall
61,0.992,0.512,1.44,-2.56,-3.456,-0.448,-0.6298666666666668,-0.8352000000000002,0.26933333333333337,0.4665853155555556,0.9769881600000001,0.16538595555555555,Run-Flat Ground,0
62,0.992,0.48,1.44,-2.56,-3.456,-0.448,-0.5776000000000001,-0.9343999999999999,0.3424000000000001,0.46627583999999983,0.9068475733333334,0.19136170666666663,Run-Flat Ground,0
63,0.448,0.576,1.664,-2.304,-2.08,-0.224,-0.6814545454545456,-0.7425454545454548,0.4072727272727274,0.42587133884297523,0.44849242975206616,0.19662492561983466,Run-Flat Ground,0
64,0.448,0.576,1.664,-2.432,-2.848,-0.224,-0.796,-0.5936000000000001,0.5920000000000003,0.5462112000000002,0.48670463999999997,0.2595328000000001,Run-Flat Ground,0
65,0.672,0.64,1.504,-2.976,-2.848,-0.48,-0.6502857142857142,-0.7400000000000001,0.43828571428571445,0.6226324897959185,0.6431108571428572,0.2568382040816327,Run-Flat Ground,0
66,0.672,0.64,1.472,-2.976,-2.592,-0.48,-0.5586440677966105,-0.7685423728813559,0.31023728813559337,0.48191599195633444,0.5396129939672508,0.1467705877621373,Run-Flat Ground,0
67,0.224,0.512,0.992,-2.688,-2.496,-0.352,-0.7659130434782613,-0.6678260869565219,0.2455652173913044,0.36304816635160697,0.4838893610586011,0.10062155009451797,Run-Flat Ground,0
68,0.224,0.512,0.992,-2.688,-2.496,-0.352,-0.9902222222222226,-0.6808888888888889,0.0808888888888889,0.4581799506172838,0.646576987654321,0.10185876543209876,Run-Flat Ground,0
69,0.416,0.544,0.768,-2.464,-2.848,-0.352,-0.7925106382978725,-0.8469787234042553,0.17702127659574474,0.5752793988229967,0.7020653399728386,0.09864610593028522,Run-Flat Ground,0
70,0.416,0.544,1.12,-2.464,-2.848,-1.056,-0.7257358490566037,-0.8247547169811316,0.2227924528301888,0.49081570380918493,0.5689050907796371,0.14173559843360628,Run-Flat Ground,0
71,0.416,0.384,1.12,-2.176,-2.432,-1.056,-0.712585365853659,-0.7539512195121952,0.21775609756097564,0.3997608280785247,0.48707677810826894,0.16854637953599055,Run-Flat Ground,0
72,0.416,0.384,1.248,-2.4,-2.432,-0.224,-0.8106666666666669,-0.5356190476190479,0.19352380952380957,0.3289803174603175,0.41360137868480734,0.11151615419501137,Run-Flat Ground,0
73,0.64,1.376,0.672,-3.2,-2.4,-0.832,-0.972444444444445,-0.47348148148148156,0.05925925925925928,0.4418907654320987,0.3698680274348422,0.06536182167352537,Run Up Stairs,0
74,0.768,1.376,1.408,-3.2,-2.4,-0.832,-0.8515555555555553,-0.6080000000000003,0.21333333333333346,0.76490587654321,0.6272948148148149,0.2238388148148148,Run Up Stairs,0
75,0.768,1.024,1.536,-2.016,-2.208,-0.672,-0.6471111111111114,-0.4023703703703706,0.4989629629629632,0.37090291358024713,0.3644530480109741,0.22344129492455428,Run Up Stairs,0
76,1.024,1.152,1.152,-3.36,-2.72,-1.376,-0.9136000000000002,-0.5349333333333334,0.23040000000000008,0.90710784,0.5936500622222222,0.3450470399999999,Run Up Stairs,0
77,1.024,1.152,1.44,-3.36,-2.72,-1.376,-0.8879999999999999,-0.6473333333333335,0.162,1.2080853333333332,0.7865275555555553,0.4057773333333334,Run Up Stairs,0
78,0.384,0.896,1.44,-2.496,-1.472,-0.64,-0.6368780487804881,-0.3941463414634148,0.32000000000000006,0.4142856680547292,0.21451246638905422,0.2567992195121951,Run Up Stairs,0
79,1.184,0.992,1.472,-3.232,-2.944,-0.608,-0.8497777777777782,-0.459851851851852,0.14044444444444443,0.40545343209876533,0.45318812620027454,0.18960750617283947,Run Up Stairs,0
80,1.184,0.992,1.472,-3.232,-2.944,-0.608,-0.8277735849056603,-0.6768301886792452,0.21735849056603776,0.657641307226771,0.7180131975792097,0.21428102242791028,Run Up Stairs,0
81,0.832,0.544,1.312,-2.272,-2.496,-0.512,-0.7596190476190479,-0.6400000000000002,0.3100952380952382,0.5140021405895691,0.4642133333333332,0.12617084807256237,Run Up Stairs,0
82,0.832,0,1.312,-2.272,-1.76,0.032,-0.5847272727272729,-0.554666666666667,0.5381818181818184,0.23137886501377405,0.09877979797979795,0.061344088154269956,Run Up Stairs,0
83,-0.768,0.128,0.256,-1.024,-0.544,-0.224,-0.8865185185185183,-0.3040000000000002,-0.08770370370370373,0.007116027434842246,0.023087407407407418,0.0108159122085048,Stand Still,0
84,-0.8,0.128,0.352,-1.184,-0.416,-0.224,-0.9630476190476194,-0.20419047619047628,-0.012952380952380943,0.007109950113378684,0.010822820861678009,0.01190080725623583,Stand Still,0
85,-0.672,0.064,0.096,-1.376,-0.32,-0.32,-0.9864827586206902,-0.19420689655172418,-0.05075862068965517,0.02196790487514863,0.008893336504161712,0.012183286563614747,Stand Still,0
86,-0.672,0.032,0.96,-1.376,-0.544,-0.32,-0.9621333333333338,-0.23360000000000009,0.0288,0.02689251555555556,0.012503039999999998,0.04630869333333331,Stand Still,0
87,-0.736,0,0.96,-1.28,-0.544,-0.256,-0.9525106382978719,-0.25123404255319165,0.039489361702127655,0.014955313716613851,0.009716179266636494,0.0344766754187415,Stand Still,0
88,-0.736,0,0.544,-1.248,-0.448,-0.256,-0.9448888888888894,-0.22222222222222232,-0.006222222222222216,0.01060898765432099,0.008985283950617283,0.022062617283950623,Stand Still,0
89,-0.8,-0.032,0.192,-1.024,-0.192,-0.192,-0.944,-0.128,-0.021333333333333333,0.007082666666666664,0.0027306666666666664,0.026510222222222227,Stand Still,0
90,-0.768,-0.416,-0.032,-0.864,-0.608,-0.224,-0.8266666666666667,-0.49066666666666664,-0.1546666666666667,0.001166222222222221,0.0036408888888888884,0.004579555555555556,Stand Still,0
91,-0.768,-0.416,-0.032,-0.864,-0.608,-0.224,-0.8266666666666667,-0.49066666666666664,-0.1546666666666667,0.001166222222222221,0.0036408888888888884,0.004579555555555556,Stand Still,0
92,-0.8,0.192,0.384,-1.024,-0.544,-0.288,-0.9127619047619052,-0.2910476190476191,-0.01980952380952381,0.003961324263038549,0.029247854875283436,0.019356154195011337,Stand Still,0
93,-0.8,0.192,0.416,-1.024,-0.544,-0.288,-0.9344000000000005,-0.21568000000000012,0.035840000000000004,0.0023756800000000007,0.016458137600000013,0.015754854400000004,Stand Still,0
94,-0.736,0.128,0.448,-1.12,-0.448,-0.096,-0.9394716981132076,-0.16845283018867932,0.07969811320754719,0.0025539850480598087,0.009009304378782486,0.010920965468138123,Stand Still,0
95,1.2493144505583258,1.2225255197623786,2.746906714070808,-2.9951211699145524,-2.402175520762846,-1.3975328821318636,-0.9219944338496612,-0.4863089802881854,0.32152134075178457,0.814482852250446,1.0518408190757722,1.0320744675149376,Fall,1
96,1.019100597332463,1.0108060288231857,2.762542614781665,-2.6597647843985754,-1.6190383203809096,-1.2999323239551959,-0.6910187521701504,-0.17174602609786738,0.4584181752784133,1.1758112617231775,0.7238889963416321,1.0981473867296592,Fall,1
97,2.607547990678818,1.8595297035402145,1.955815490025849,-3.685817369173732,-2.5480041042119224,-2.3093998688556234,-0.9889444161354165,-0.08635117098561602,0.2464124420473973,2.002855846971885,1.1812570854072437,0.8762844679903088,Fall,1
98,1.5523722161279832,1.9301955068795154,2.809684481711529,-2.862528765916348,-2.0286351624922916,-1.5992488711986093,-0.8624192832240164,-0.0013188659818626585,0.40805661219497646,1.2897057901199191,1.1381556283445653,0.8899315914328881,Fall,1
99,1.025060332756147,1.4043147618389276,1.9453319457642553,-2.436236154975111,-2.3032570130290453,-1.6224150043624481,-1.1300236901467284,-0.33342121754148457,0.4574596329230767,0.7017484920435804,0.8890548962088228,0.5984913203013705,Fall,1
100,1.0966226537518466,1.8134224018379872,2.4752105723490834,-2.7128551343740868,-1.5456508522156602,-1.9535969067590782,-0.7639856193168727,0.1234675548228283,0.3211441593220323,0.718254286804569,0.7488245938015767,1.4797003113681606,Fall,1
101,0.9463052524701452,1.5972942482141916,2.7672566938843333,-2.2803044336460103,-2.4827866032295702,-2.1375637736881057,-0.8548657468347122,-0.3962606115966576,0.5428715832761852,0.8324812825743299,0.9313042305824423,1.2884752411162357,Fall,1
102,0.7785321893344365,3.217973748057032,1.9107800525479803,-2.9709668126496633,-1.7219207911332348,-1.9463999120847224,-0.7729224761230399,-0.38477156338489454,0.36798381352568915,0.801466202611797,1.1478224542782904,0.9714067945406182,Fall,1
103,0.6033564558181943,1.775412090656719,2.6194877102413585,-3.490552818236845,-2.0626668207959913,-1.7680731651513097,-0.9197342970485084,-0.22430551560343384,0.6763913410493877,0.7388066632731585,0.891266138861865,1.304190607476037,Fall,1
104,1.024086458988827,1.1448498880009643,1.9986397587638465,-2.7612438338613514,-2.863439800626212,-1.0992728234683466,-0.9586590525123461,-0.4437111213592629,0.5199684949712052,1.0340492022436667,0.9121613891505937,0.5991930430994377,Fall,1
105,-0.48,-0.224,0.928,-0.96,-0.416,0.064,-0.7653333333333338,-0.29333333333333345,0.4413333333333334,0.03037155555555557,0.003214222222222221,0.14148088888888896,Fall,1
106,0.8943053983015236,2.5036783454993854,2.884514192994584,-3.075790211122579,-2.032512006605006,-2.143343558967292,-0.747181445083292,-0.29079833651739845,0.09788753224842926,1.176589227429075,0.8630448081884745,1.1071310273789987,Fall,1
107,0.5866392009347657,1.4482545959763784,1.9652878429394753,-3.1213138896934636,-2.172963648979925,-2.586508954247002,-1.2909229213428612,-0.1820356930613489,-0.08759490819378572,0.9304051918244169,0.7494445393974759,1.0326763412606403,Fall,1
108,0.7695335112632836,1.9199587452563487,2.5873656018996796,-3.134912757651955,-3.3890546788786025,-1.2739236224233894,-0.9338483501309541,-0.4151947303608106,0.4376002810542542,0.8864270896202051,1.0346042155956086,0.7363557607566621,Fall,1
109,1.2832901516701893,1.4784215127853795,3.2321343524306037,-4.2558389856100565,-2.636588172221607,-2.0854245284298987,-0.841474833837759,-0.5844838461634663,-0.05324935241444504,1.5628558900286682,0.9482470777691674,1.2400397012494366,Fall,1
110,1.0141346073319326,2.3513898335331547,2.1358167112781277,-3.1851053651227623,-2.2516623164933396,-3.0317597535236205,-1.0396854788077523,-0.37067975571804973,-0.04997076580326466,0.9865204176813704,0.9585714009341312,1.1067992139569807,Fall,1
