uid,x,y,z,timeStamp,time,activity,activityID,isFall
a0:e6:f8:00:00:c2,-0.928,-0.192,0.288,1521638754,2018-03-21 13:25:54,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.96,-0.256,0.32,1521638754,2018-03-21 13:25:54,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.832,-0.192,0.128,1521638755,2018-03-21 13:25:55,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.896,-0.192,0.224,1521638755,2018-03-21 13:25:55,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.8,-0.256,0.288,1521638755,2018-03-21 13:25:55,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-1.088,-0.288,0.256,1521638755,2018-03-21 13:25:55,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-1.12,-0.32,0.224,1521638755,2018-03-21 13:25:55,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.992,-0.384,0.256,1521638755,2018-03-21 13:25:55,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.832,-0.448,0.288,1521638755,2018-03-21 13:25:55,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.992,-0.48,0.192,1521638755,2018-03-21 13:25:55,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-1.344,-0.48,0.096,1521638755,2018-03-21 13:25:55,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-1.28,-0.352,0.032,1521638756,2018-03-21 13:25:56,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-1.408,-0.288,-0.064,1521638756,2018-03-21 13:25:56,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-1.216,-0.224,-0.064,1521638756,2018-03-21 13:25:56,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.928,-0.192,-0.032,1521638756,2018-03-21 13:25:56,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.64,-0.16,0,1521638756,2018-03-21 13:25:56,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.672,-0.192,0.096,1521638756,2018-03-21 13:25:56,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-1.088,-0.224,0.192,1521638756,2018-03-21 13:25:56,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-1.088,-0.256,0.224,1521638756,2018-03-21 13:25:56,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-1.344,-0.352,0.192,1521638756,2018-03-21 13:25:56,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-1.024,-0.32,0.128,1521638756,2018-03-21 13:25:56,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.896,-0.384,0.192,1521638756,2018-03-21 13:25:56,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.8,-0.416,0.256,1521638757,2018-03-21 13:25:57,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.832,-0.448,0.224,1521638757,2018-03-21 13:25:57,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.96,-0.48,0.16,1521638757,2018-03-21 13:25:57,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-1.44,-0.448,0.128,1521638757,2018-03-21 13:25:57,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.896,-0.32,0.064,1521638759,2018-03-21 13:25:59,Walk on flat ground,1,0
a0:e6:f8:00:00:c2,-0.896,-0.32,0.096,1521638759,2018-03-21 13:25:59,Walk on flat ground,1,0
