id,max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,var_x,var_y,var_z,activity,isFall,timestamp,duration
13,-0.416,-0.8,0.16,-0.544,-0.864,0.096,-0.47771428571428604,-0.8190476190476195,0.12647619047619058,0.0003604897959183677,0.0002954739229024931,0.00019272562358276657,Get Thing on Floor,0,1521639643.787,3.9600000381469727
14,-0.352,-0.8,0.128,-0.512,-0.864,-0.064,-0.46933333333333366,-0.8256000000000004,0.10560000000000007,0.000978488888888889,0.0003003733333333324,0.0018534400000000005,Get Thing on Floor,0,1521639646.287,4.980000019073486
15,0.192,0.128,0.896,-1.184,-1.376,-0.608,-0.41600000000000015,-0.8512000000000003,0.13952,0.06610944,0.08257535999999999,0.06544424959999999,Walk-Flat Ground,0,1521640139.113,4.960999965667725
16,0.192,0.128,0.896,-1.184,-1.728,-0.608,-0.3977142857142859,-0.8723809523809524,0.08990476190476196,0.07300353741496596,0.11049737868480725,0.08305313378684806,Walk-Flat Ground,0,1521640141.613,4.861999988555908
17,0.352,-0.128,0.768,-1.152,-1.76,-0.704,-0.3936000000000002,-0.9288000000000004,0.036000000000000004,0.06825983999999999,0.12254656,0.06682560000000001,Walk-Flat Ground,0,1521640144.113,4.922000169754028
18,0.512,-0.096,0.416,-0.928,-2.048,-0.736,-0.4000000000000002,-0.9600000000000002,0.04419047619047619,0.06818133333333336,0.12780495238095235,0.05134396371882085,Walk-Flat Ground,0,1521640146.613,4.89900016784668
19,0.512,-0.032,0.416,-0.928,-2.048,-0.736,-0.38000000000000017,-0.9139999999999997,0.014666666666666661,0.05404266666666666,0.10696133333333335,0.06224888888888889,Walk-Flat Ground,0,1521640149.113,4.959000110626221
20,0.352,-0.032,0.416,-0.96,-2.464,-0.704,-0.3673333333333335,-0.9166666666666666,-0.018666666666666654,0.05738622222222223,0.12703955555555554,0.04824888888888889,Walk-Flat Ground,0,1521640151.613,4.999000072479248
21,0.736,-0.352,0.352,-0.992,-2.464,-1.024,-0.3753333333333335,-0.939333333333333,0.005333333333333331,0.08506622222222221,0.15272488888888883,0.053944888888888896,Walk-Flat Ground,0,1521640154.113,4.959000110626221
22,0.736,-0.352,0.32,-0.992,-2.176,-1.024,-0.37565217391304356,-0.936347826086957,-0.002782608695652175,0.10090561814744803,0.1404409224952741,0.07612443100189036,Walk-Flat Ground,0,1521640156.613,4.618000030517578
23,0.32,-0.768,0.512,-0.672,-1.088,-0.608,-0.3253333333333334,-0.8960000000000002,0.05866666666666667,0.06311822222222223,0.00938666666666667,0.0769422222222222,Walk-Flat Ground,0,1521640159.113,4.977999925613403
24,0.672,0.096,0.512,-1.28,-2.144,-0.704,-0.3613658536585368,-0.8866341463414636,0.024975609756097552,0.1214935490779298,0.18193452468768587,0.0723549506246282,Walk-Flat Ground,0,1521640161.613,4.958000183105469
25,0.672,0.096,0.416,-1.28,-2.144,-0.704,-0.39148936170212784,-0.9075744680851066,0.013617021276595748,0.11922901584427342,0.2466500316885468,0.061821044816659114,Walk-Flat Ground,0,1521640164.113,4.998000144958496
26,0.352,0.0,0.384,-0.992,-2.016,-0.8,-0.38536170212765974,-0.9327659574468085,0.043574468085106385,0.05403048619284745,0.12915379628791301,0.04324441466727026,Walk-Flat Ground,0,1521640166.613,4.959000110626221
27,0.32,-0.416,0.448,-0.832,-1.664,-0.8,-0.38020338983050866,-0.8976271186440675,0.010847457627118666,0.037075212869864975,0.045834369434070675,0.05358158690031599,Walk-Flat Ground,0,1521640169.113,4.999000072479248
28,0.288,0.288,0.576,-1.088,-2.272,-0.8,-0.385627118644068,-0.9052203389830509,-0.009220338983050844,0.061038166044240165,0.12663064636598678,0.06175417178971562,Walk-Flat Ground,0,1521640171.613,4.9690001010894775
29,0.288,0.288,0.576,-1.088,-2.272,-1.152,-0.35274418604651175,-0.9354418604651163,-0.01041860465116279,0.09627926014061655,0.1813593163872363,0.07533405732828556,Walk-Flat Ground,0,1521640174.113,4.2790000438690186
30,0.192,-0.384,0.288,-1.024,-1.568,-1.152,-0.31314285714285717,-0.9234285714285717,-0.05485714285714285,0.11193469387755105,0.08643395918367346,0.11182497959183671,Walk-Flat Ground,0,1521640176.613,4.292999982833862
31,-0.128,-0.512,0.288,-0.736,-1.248,-0.128,-0.4000000000000001,-0.9368888888888891,0.09777777777777778,0.019825777777777776,0.030128987654320975,0.009042172839506174,Walk-Flat Ground,0,1521640184.546,4.8399999141693115
32,-0.128,-0.512,0.288,-0.864,-1.248,-0.128,-0.40800000000000014,-0.9266666666666671,0.08666666666666667,0.02792533333333333,0.033918222222222225,0.009342222222222222,Walk-Flat Ground,0,1521640187.046,4.980000019073486
33,-0.032,-0.32,0.736,-1.344,-1.248,-0.128,-0.4065882352941178,-0.9317647058823532,0.1148235294117647,0.09490247750865055,0.05058347404844293,0.04084661591695502,Walk-Flat Ground,0,1521640189.546,4.920000076293945
34,0.224,-0.384,0.736,-0.64,-1.408,-0.64,-0.29217391304347834,-0.9474782608695655,0.07652173913043478,0.035021187145557665,0.04200529300567109,0.05856737996219281,Walk-Flat Ground,0,1521640192.046,4.939000129699707
35,0.224,-0.384,0.352,-0.96,-1.408,-0.64,-0.3413333333333334,-0.9120000000000003,0.032,0.05256533333333333,0.05134222222222224,0.04801422222222222,Walk-Flat Ground,0,1521640194.546,4.039000034332275
36,-0.16,-0.736,0.288,-0.96,-1.28,-0.224,-0.4266666666666667,-0.9653333333333333,0.08533333333333336,0.06610488888888888,0.02915555555555556,0.034360888888888885,Walk-Flat Ground,0,1521640197.046,4.582000017166138
37,0.192,-0.448,0.224,-0.64,-1.376,-0.192,-0.4276363636363639,-0.8494545454545455,0.07680000000000005,0.01691884958677686,0.016116575206611566,0.006240814545454543,Go Up Stairs,0,1521640453.668,4.960000038146973
38,0.8,-0.128,0.48,-0.96,-2.304,-0.384,-0.34014814814814837,-0.912,0.018370370370370374,0.07036382990397806,0.10170785185185187,0.022323270233196163,Go Up Stairs,0,1521640456.168,4.977999925613403
39,0.64,0.0,0.48,-0.992,-3.2,-0.448,-0.28323404255319157,-0.9314042553191492,0.0013617021276595722,0.09782375373472159,0.3303918153010412,0.034160528746038914,Go Up Stairs,0,1521640458.668,4.997999906539917
40,0.64,0.0,0.352,-0.992,-3.2,-0.448,-0.3095652173913045,-0.9133913043478259,0.027826086956521744,0.08259024574669191,0.2957893686200377,0.02865457844990549,Go Up Stairs,0,1521640461.168,4.958000183105469
41,0.608,0.0,0.32,-0.896,-1.376,-0.864,-0.3226666666666669,-0.8816000000000002,0.0005333333333333421,0.07377208888888888,0.04582144,0.04302478222222222,Go Down Stairs,0,1521640473.784,4.940000057220459
42,0.8,0.0,0.416,-1.312,-2.592,-0.864,-0.19525423728813565,-0.9225762711864401,-0.08027118644067797,0.16580798621085893,0.15992285435219766,0.05492711289859236,Go Down Stairs,0,1521640476.284,4.961000204086304
43,0.8,-0.032,0.416,-1.312,-2.592,-0.672,-0.2497560975609757,-0.9045853658536589,-0.10302439024390245,0.1708441356335515,0.1740812183224271,0.04373290184414039,Go Down Stairs,0,1521640478.784,4.940999984741211
44,-0.224,-0.768,0.096,-0.544,-1.056,-0.384,-0.4373333333333336,-0.8346666666666671,-0.003999999999999982,0.004835555555555552,0.002382222222222221,0.01641066666666668,Go Down Stairs,0,1521640481.284,3.6000001430511475
45,0.352,-0.576,0.224,-0.864,-2.528,-0.32,-0.3994838709677422,-0.8929032258064521,0.0763870967741936,0.04735973361082206,0.10070576482830385,0.01068114047866805,Go Up Stairs,0,1521640496.609,4.940000057220459
46,0.352,0.0,0.576,-1.12,-2.752,-0.416,-0.3184000000000001,-0.9416000000000002,0.011200000000000002,0.08626944000000002,0.26198464,0.040885759999999986,Go Up Stairs,0,1521640499.109,4.980000019073486
47,0.384,0.0,0.704,-1.12,-2.752,-0.416,-0.2872195121951221,-0.9038048780487807,0.03278048780487805,0.08758885425342057,0.22576854729327778,0.05392173230220105,Go Up Stairs,0,1521640501.609,4.960000038146973
48,0.384,-0.128,0.704,-0.8,-1.28,-0.48,-0.3777777777777779,-0.8497777777777782,0.10133333333333337,0.062453728395061775,0.050315061728395095,0.03353600000000001,Go Up Stairs,0,1521640504.109,3.8600001335144043
49,0.096,-0.448,0.256,-0.928,-2.016,-0.416,-0.34186666666666693,-0.8917333333333333,0.052266666666666683,0.040498915555555556,0.05920312888888888,0.014778595555555553,Go Down Stairs,0,1521640513.629,4.9700000286102295
50,0.128,-0.448,0.32,-0.928,-2.016,-0.416,-0.16640000000000005,-0.9477333333333334,-0.0288,0.04037290666666667,0.11414499555555557,0.017431893333333334,Go Down Stairs,0,1521640516.129,4.976999998092651
51,0.128,-0.416,0.544,-0.928,-1.92,-0.288,-0.184888888888889,-0.9487407407407408,-0.04622222222222223,0.04254024691358026,0.13096419204389576,0.021225876543209884,Go Down Stairs,0,1521640518.629,4.976999998092651
52,0.128,-0.416,0.544,-0.544,-1.888,-0.288,-0.31644444444444464,-0.9324444444444447,-0.06222222222222224,0.035656691358024725,0.09854024691358028,0.01757550617283951,Go Down Stairs,0,1521640521.129,3.6570000648498535
53,0.416,-0.384,0.384,-0.832,-2.656,-0.352,-0.34707692307692317,-0.9181538461538464,0.04061538461538462,0.06629945562130178,0.15106120710059173,0.01839715976331361,Go Up Stairs,0,1521640539.024,4.980000019073486
54,0.416,-0.384,0.384,-0.832,-2.656,-0.352,-0.254,-0.9520000000000004,0.008000000000000005,0.09490799999999996,0.24236800000000003,0.027455999999999998,Go Up Stairs,0,1521640541.524,4.980000019073486
55,0.32,-0.064,0.48,-0.832,-1.92,-0.48,-0.26181818181818184,-0.8872727272727275,0.013090909090909092,0.08123451239669421,0.1195456528925619,0.05666062809917356,Go Up Stairs,0,1521640544.024,4.939000129699707
56,0.32,-0.064,0.64,-0.832,-1.92,-0.48,-0.3117714285714287,-0.8713142857142863,0.021028571428571428,0.07374806204081635,0.0969631869387755,0.06155368489795917,Go Up Stairs,0,1521640546.524,4.361000061035156
57,0.032,-0.352,0.384,-0.672,-2.56,-0.384,-0.3692800000000003,-0.8710400000000004,0.060800000000000035,0.034701721600000006,0.1055248384,0.017008640000000002,Go Down Stairs,0,1521640560.7619998,4.960000276565552
58,0.32,-0.256,0.736,-1.344,-2.56,-0.576,-0.21511111111111111,-0.9374814814814811,-0.02251851851851852,0.10135387654320988,0.21385024965706442,0.059681360768175595,Go Down Stairs,0,1521640563.2619998,4.999000310897827
59,0.32,-0.256,0.736,-1.344,-2.24,-0.576,-0.2695111111111112,-0.9429333333333334,-0.03555555555555555,0.12353940543209875,0.18685041777777778,0.06158664691358023,Go Down Stairs,0,1521640565.7619998,4.997000217437744
60,0.928,0.384,0.416,-2.016,-1.6,-0.64,-0.44207407407407434,-0.8805925925925928,0.1505185185185186,0.1830712537722908,0.09605653772290808,0.02042802743484225,Run-Flat Ground,0,1521640886.728,4.950999975204468
61,0.928,0.384,0.672,-2.016,-1.856,-0.704,-0.3685333333333335,-0.9434666666666665,0.05546666666666667,0.35520824888888874,0.20495331555555557,0.06894478222222224,Run-Flat Ground,0,1521640889.228,4.9709999561309814
62,0.896,0.352,0.736,-1.568,-1.856,-0.704,-0.3597037037037039,-0.9635555555555553,0.05214814814814815,0.30287398628257883,0.16985758024691353,0.08682368175582991,Run-Flat Ground,0,1521640891.728,4.991000175476074
63,0.64,0.224,0.736,-1.728,-1.952,-0.576,-0.415219512195122,-0.9350243902439029,0.09443902439024392,0.27130943961927423,0.20842207257584777,0.07412517311124332,Run-Flat Ground,0,1521640894.228,4.931000232696533
64,0.8,0.224,0.736,-1.792,-2.144,-0.576,-0.4781714285714287,-0.8630857142857147,0.08137142857142858,0.3893507134693878,0.3619392783673469,0.0849242906122449,Run-Flat Ground,0,1521640896.728,4.9690001010894775
65,0.832,0.512,0.736,-1.792,-2.144,-0.512,-0.40646808510638305,-0.9348085106382978,0.04697872340425532,0.4227993553644181,0.33647926120416477,0.07485444635581709,Run-Flat Ground,0,1521640899.228,4.989000082015991
66,0.832,0.512,0.896,-1.632,-2.144,-0.416,-0.3718620689655174,-0.9886896551724135,0.07006896551724139,0.35585156718192634,0.23406131747919148,0.07434440903686089,Run-Flat Ground,0,1521640901.728,4.928999900817871
67,0.736,0.288,0.896,-1.632,-1.856,-0.288,-0.37800000000000006,-0.9753333333333334,0.09733333333333337,0.29690266666666654,0.21030355555555558,0.0642968888888889,Run-Flat Ground,0,1521640904.228,4.848999977111816
68,0.608,0.288,0.576,-1.6,-1.856,-0.224,-0.3894857142857144,-0.948114285714286,0.08045714285714285,0.27171024979591835,0.22926398693877548,0.03981144816326531,Run-Flat Ground,0,1521640906.728,4.986999988555908
69,0.672,0.064,0.576,-1.76,-1.728,-0.48,-0.3735652173913044,-0.9370434782608698,0.08904347826086959,0.31521633270321353,0.24196065028355382,0.0499940415879017,Run-Flat Ground,0,1521640909.228,4.986999988555908
70,0.704,0.064,0.832,-1.76,-1.728,-0.864,-0.3735172413793104,-0.9373793103448272,0.06510344827586209,0.3244098359096314,0.22242016646848986,0.08672098929845425,Run-Flat Ground,0,1521640911.728,4.927000045776367
71,1.088,0.48,0.832,-1.824,-1.952,-0.864,-0.34716981132075475,-0.9756981132075476,0.06037735849056604,0.40810829191883236,0.26406149377002497,0.0862347255250979,Run-Flat Ground,0,1521640914.228,4.947000026702881
72,1.088,0.48,0.608,-1.824,-1.952,-0.576,-0.32390243902439037,-0.9693658536585368,0.09521951219512192,0.39282613682331946,0.28518369541939315,0.05876700059488402,Run-Flat Ground,0,1521640916.728,4.968000173568726
73,0.192,0.64,0.288,-0.608,-2.784,-0.224,-0.3782564102564105,-0.9214358974358978,0.09764102564102566,0.03381152399737015,0.24424655358316896,0.015331050624589088,Run Up Stairs,0,1521641063.6069999,4.960000038146973
74,0.992,0.64,0.832,-1.568,-2.784,-0.512,-0.32000000000000006,-1.105777777777778,0.11288888888888887,0.24780800000000008,0.5653870617283948,0.07045609876543209,Run Up Stairs,0,1521641066.1069999,4.999000072479248
75,0.992,1.056,0.608,-1.568,-2.624,-0.512,-0.4056,-0.9927999999999999,0.12080000000000002,0.31710144000000007,0.47531456000000005,0.05204415999999999,Run Up Stairs,0,1521641068.6069999,4.999000072479248
